Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,asymmetric,0.01,0.4144695958328768
100% Corpus,8,asymmetric,0.31,0.4108441100943728
100% Corpus,8,asymmetric,0.61,0.43098359814081816
100% Corpus,8,asymmetric,0.9099999999999999,0.46003101484000114
100% Corpus,8,asymmetric,symmetric,0.41542277144327705
100% Corpus,9,0.01,0.01,0.3933480492109005
100% Corpus,9,0.01,0.31,0.40632743518883985
100% Corpus,9,0.01,0.61,0.3966981866128371
100% Corpus,9,0.01,0.9099999999999999,0.43239202428470064
100% Corpus,9,0.01,symmetric,0.3584216368209692
100% Corpus,9,0.31,0.01,0.43579665907640064
